icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
a26b51,AAY692,,0.081,0.0,-105.691101,40.125412,32025,False,439.2,212.35,-128.0,,32475.0,2471,False,0,0
a4adb8,N400MD,,0.225,0.0,-105.667937,39.86261,30625,False,463.5,87.4,,,31125.0,0626,False,0,0
a8e002,LXJ671,,0.316,0.0,-105.667673,36.582005,47000,False,454.4,247.89,64.0,,47700.0,1170,False,0,0
aa998e,SKW4720,,0.505,0.1,-105.666199,40.39325,21075,False,430.7,101.52,,,21325.0,6057,False,0,0
a3c900,FFT2105,,0.368,0.0,-105.662004,38.199829,38000,False,417.7,206.14,0.0,,38775.0,1431,False,0,0
aa77c0,SWA1538,,0.153,0.0,-105.661068,36.584427,38025,False,387.9,278.15,-64.0,,38950.0,2160,False,0,0
adc313,SKW5682,,0.104,0.1,-105.540697,44.350445,ground,True,17.5,,,,,1200,False,0,0
a68fe4,N5216W,,0.312,0.1,-105.485949,43.556788,8125,False,113.9,226.07,,,8325.0,3221,False,0,0
a2531f,N249TH,,2.594,2.6,-105.467674,38.488403,ground,True,100.0,242.2,38.0,,,1200,False,0,0
a47fde,UAL143,,0.312,0.3,-105.439192,43.94899,35975,False,430.5,351.72,,,35575.0,3240,False,0,0
a35a98,ENY4095,,0.52,0.1,-105.3617,44.847309,30000,False,322.6,326.51,0.0,,29400.0,6251,False,0,0
a18b71,AAL2178,,0.124,0.1,-105.271593,37.443315,29000,False,505.0,126.3,-192.0,,29800.0,6022,False,0,0
a68fe8,N52160,,0.075,0.0,-105.245178,40.052307,5750,False,80.2,266.42,-256.0,,6100.0,1200,False,0,0
ac65bb,SWA1873,,0.089,0.1,-105.243042,39.283199,16950,False,368.5,66.15,-1536.0,,17325.0,5166,False,0,0
a00a76,N101WY,,0.363,0.2,-105.240295,40.730164,22975,False,326.6,37.54,-3648.0,,23250.0,1456,False,0,0
a5f90a,N484SE,,0.433,0.3,-105.236962,38.349873,27500,False,244.0,275.17,1280.0,,28150.0,0605,False,0,0
a34cab,N311XX,,0.238,0.0,-105.236102,40.161593,7625,False,128.5,4.91,64.0,,7900.0,1200,False,0,0
a6ae0c,N52993,,9.13,9.1,-105.234924,40.039124,5000,False,63.0,90.0,,,5275.0,,False,0,0
a01ad0,N10580,,0.008,0.0,-105.222656,40.39563,7325,False,159.9,173.9,0.0,,7625.0,1200,False,0,0
a9a45c,N720JH,,0.169,0.0,-105.190222,40.179004,5150,False,94.1,165.23,-320.0,,5400.0,1200,False,0,0
a55b53,N444UZ,,0.152,0.0,-105.147937,38.715637,43000,False,466.1,201.39,,,43525.0,7154,False,0,0
a5a764,N4632F,,0.0,0.0,-105.146526,40.181424,5800,False,98.4,222.12,,,6025.0,1200,False,0,0
a9da5a,N734EQ,,0.284,0.0,-105.134888,40.314102,7100,False,96.8,70.07,,,7375.0,1200,False,0,0
a43b83,N372CZ,,4.844,3.3,-105.127609,39.915972,ground,True,0.0,,,,,5137,False,0,0
a6cb9e,N537ND,,0.841,0.8,-105.127289,39.916042,ground,True,0.0,,,,,1200,False,0,0
a6918c,N522ND,,2.659,0.8,-105.125666,39.915539,ground,True,0.0,,,,,1200,False,0,0
a77412,N58FF,,3.55,2.1,-105.125532,39.91547,ground,True,0.0,,,,,1200,False,0,0
a20ed1,CXK126,,1.781,1.8,-105.125263,39.91531,ground,True,0.0,,,,,5150,False,0,0
ad5a50,N96FF,,2.274,1.5,-105.125061,39.915227,ground,True,0.0,,,,,1200,False,0,0
ab2121,N816RD,,0.164,0.2,-105.124338,39.914486,ground,True,12.2,,,,,1200,False,0,0
a23a27,CXK455,,0.156,0.0,-105.12085,40.163177,5800,False,96.8,38.29,256.0,,6075.0,1200,False,0,0
a2f3e2,N29HT,,1.176,0.7,-105.120053,39.910904,5275,False,29.2,120.96,0.0,,5575.0,1200,False,0,0
ae4ee1,SHARK68,,0.36,0.4,-105.114105,39.909129,ground,True,17.5,,,,,1200,False,0,0
abe2a3,AAL1414,,0.155,0.2,-105.113844,39.062393,28100,False,468.2,206.78,2048.0,,28600.0,3250,False,0,0
a9e2ba,N736QG,,0.825,0.8,-105.111038,39.912083,ground,True,0.0,,,,,1200,False,0,0
a3260d,N30147,,7.169,0.9,-105.110641,39.910874,ground,True,0.0,,,,,1200,False,0,0
a28f6f,N264SF,,0.008,0.0,-105.10939,39.913726,ground,True,,,,,,1200,False,0,0
a6b1c3,N530PS,,0.459,0.2,-105.106018,39.900435,5675,False,74.1,124.55,1152.0,,5975.0,1200,False,0,0
a1242d,UAL2050,,0.363,0.0,-105.105639,41.067826,36000,False,374.5,240.22,0.0,,36200.0,1517,False,0,0
aa1851,N75GL,,0.0,0.0,-105.101196,40.114746,6575,False,127.9,207.97,,,6850.0,1200,False,0,0
a7cc01,N601LS,,0.295,0.2,-105.099121,40.08847,5975,False,91.4,169.92,320.0,,6250.0,1200,False,0,0
a9ce3a,N7306E,,0.008,0.0,-105.098274,40.007645,6400,False,95.0,180.0,-896.0,,6550.0,1200,False,0,0
a81a7a,N621FJ,,0.102,0.0,-105.091797,39.946106,6025,False,88.0,178.7,-384.0,,6275.0,1200,False,0,0
a32ae3,N303EH,,0.238,0.1,-105.088723,40.192411,7175,False,94.2,160.8,-448.0,,7425.0,1200,False,0,0
ab78fb,N8384E,,0.017,0.0,-105.084049,39.690353,7000,False,111.5,354.85,,,7175.0,1200,False,0,0
abc012,SWA1369,,0.203,0.0,-105.078125,38.501727,32500,False,458.4,196.74,1728.0,,33150.0,3247,False,0,0
a14f8e,N184AF,,0.196,0.0,-105.074366,39.926458,6400,False,93.2,38.47,,,6750.0,1200,False,0,0
a9e8e5,N738BJ,,0.196,0.0,-105.073914,40.170593,6600,False,96.0,270.6,,,6825.0,1200,False,0,0
a4e6b0,N41498,,0.075,0.0,-105.073617,40.032085,5700,False,88.6,23.96,-64.0,,6050.0,1200,False,0,0
ab5d40,N831NC,,0.196,0.0,-105.068909,40.24823,6300,False,111.5,84.34,,,6525.0,1200,False,0,0
a66970,LXJ512,,0.523,0.1,-105.064453,40.703751,43000,False,386.9,313.43,,,43200.0,3266,False,0,0
a03a0b,N1132W,,0.363,0.0,-105.059448,40.184509,5825,False,87.1,181.97,-64.0,,6125.0,1200,False,0,0
a26f5e,N256SF,,0.238,0.2,-105.0578,40.218842,7125,False,87.2,153.43,320.0,,7400.0,1200,False,0,0
abc88c,,,43.138,10.4,-105.050583,40.016521,ground,True,0.0,,,,,1200,False,0,0
a6beaa,N5335S,,0.544,0.2,-105.048584,39.942764,7000,False,103.7,39.52,,,7300.0,1200,False,0,0
abaf1c,N852DL,,0.363,0.0,-105.036194,40.114792,8625,False,265.4,185.84,,,8900.0,6065,False,0,0
a6f31d,N547ND,,0.102,0.0,-105.031794,39.958625,6925,False,108.1,38.99,0.0,,7175.0,1200,False,0,0
a9325c,N692CF,,0.415,0.0,-105.031357,40.355902,9400,False,111.8,333.43,256.0,,9575.0,1200,False,0,0
aa7ced,RTY775,,0.081,0.0,-105.026917,40.482056,5050,False,78.3,155.07,-576.0,,5325.0,1200,False,0,0
a2928b,,,0.075,0.1,-105.015381,40.45784,4650,False,71.8,161.31,64.0,,4950.0,5102,False,0,0
a2556c,N25CW,,0.081,0.1,-105.013,40.398605,5700,False,107.4,350.89,-320.0,,5975.0,1200,False,0,0
a9674b,RTY705,,18.833,18.8,-105.011307,40.452438,ground,True,12.2,,,,,1200,False,0,0
a4aae0,N40GB,,3.384,4.6,-105.009811,40.44936,ground,True,9.8,118.12,40.0,,5250.0,5163,False,0,0
a53508,N4345G,,0.363,0.2,-105.006042,39.859842,7300,False,104.3,24.35,,,7550.0,5136,False,0,0
acc920,N9228Z,,0.153,0.0,-105.00027,40.49365,8675,False,219.1,9.72,64.0,,8875.0,6712,False,0,0
